名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
楠博苑四期,龙泉驿大面,蒲草路楠博苑四期,0,板楼,374户,10栋,商品房/拆迁安置房,暂无信息 ,1元/平米/月,小区物业,暂无信息
楠博苑三期,龙泉驿大面,树德大街38号,0,板楼,229户,17栋,商品房/拆迁安置房,1995年 ,1至3元/平米/月,暂无信息,成都复地置业
成龙大道888号,龙泉驿大面,成龙大道888号,0,板楼,3户,2栋,商品房,2012年 ,2.4元/平米/月,暂无信息,成都志达房产开发有限公司
中洲中央城邦,锦江东大路,东二环通桂路7号(沙河公园旁,0,塔楼/板楼/塔板结合,832户,8栋,商品房/私产,2015-2016年 ,2.92至5元/平米/月,深圳市中洲物业管理有限公司成都分公司,成都中洲锦江房地产有限公司
仁恒滨河湾,锦江东大路,汇源东路88号,0,板楼,550户,7栋,商品房/使用权/私产,2014-2016年 ,5元/平米/月,成都仁恒物业管理有限公司,仁恒置业（成都）有限公司
仁恒滨河湾三期,锦江东大路,古雅坡路仁恒滨河湾三期,52586,塔楼/板楼/塔板结合,798户,6栋,商品房,2020年 ,5元/平米/月,成都仁恒物业管理有限公司,暂无信息
ICC凯旋门,锦江东大路,东大路577号,35241,塔楼/塔板结合,646户,2栋,商品房,2018年 ,5元/平米/月,广东启胜物业管理服务有限公司成都分公司,祥宝投资（成都）有限公司
天誉花园,锦江东大路,东二环汇源北路99号,40877,塔楼/板楼/塔板结合,2987户,27栋,商品房,2014-2019年 ,4.6至10元/平米/月,暂无信息,成都市宏誉房地产开发有限公司
ICC天曜,锦江东大路,二环路外沙河畔ICC天曜,0,塔楼/板楼/塔板结合,1038户,10栋,商品房,2014-2016年 ,4.5至4.6元/平米/月,广东启胜物业管理服务有限公司成都分公司,香港九龙仓集团
中粮鸿云,锦江东大路,汇源北路333号,0,塔楼/板楼/塔板结合,2188户,13栋,商品房/使用权/私产/校产,2009-2018年 ,2.9至6元/平米/月,暂无信息,成都鸿悦置业有限公司
乐天圣苑,锦江东大路,通源街588号,0,塔楼/板楼/塔板结合,1543户,9栋,商品房/使用权,2014-2018年 ,3.5至6元/平米/月,深圳长城物业管理公司成都分公司,乐天地产（成都）有限公司
仁恒滨河湾二期,锦江东大路,汇源东路99号,43208,板楼/塔板结合,1124户,5栋,商品房,2016年 ,5元/平米/月,成都仁恒物业管理有限公司,暂无信息
中粮悦街,锦江东大路,汇泉北路333号,0,塔楼/板楼,27户,2栋,商品房,2017年 ,6.5元/平米/月,中粮地产集团深圳物业管理成都分公司,成都鸿悦置业有限公司
环球汇天誉,锦江东大路,东大路318号,17333,塔楼/板楼/塔板结合,2993户,10栋,商品房/已购公房/私产,2009-2019年 ,4.6至18元/平米/月,暂无信息,成都市宏誉房地产开发有限公司
彩蝶花园,锦江东光小区,晨辉东路89号,16708,板楼,162户,2栋,商品房,1998-2005年 ,0.5至0.8元/平米/月,私人承办物业,无开发商
育才都市家园一期,锦江东光小区,晨辉路6号,19929,板楼,360户,6栋,商品房/拆迁安置房,2005-2006年 ,0.7至1.3元/平米/月,成都忠信物业管理有限公司,四川嘉祥房地产开发有限公司 
育才都市家园二期,锦江东光小区,晨辉路108号,19927,塔楼/板楼,955户,13栋,商品房,1999-2006年 ,1.2至1.3元/平米/月,成都忠信物业管理有限公司,四川嘉祥房地产开发有限公司 
金象嘉园,锦江东光小区,晨辉北路16号,13361,板楼/平房,1456户,28栋,商品房/已购公房/公租房/拆迁安置房,2003年 ,0.3至0.5元/平米/月,业主自筹物业,无开发商
